Company,Text_Description,Link
"Corporate Sports
","
Welcome to Corporate Sports, a full service marketing and promotional items company. We are here to help you with shirts for your staff, uniforms for your team, t-shirts for your school, or giveaway products for your upcoming trade show. Whatever your organization's marketing needs, we can help!


Corporate Sports specializes in providing custom embroidery, screen-printing and heat transfers on a full array of products to business, organizations and schools. From the basic t-shirt, to a high end polo, to Under Armour athletic wear, we've got you covered.",https://www.corporatesports.com/aboutus.asp
"Corporate Sports 
Unlimited","Corporate Sports Unlimited has served the Atlanta Metro Area and beyond for 43 years through our two operating divisions.

Corporate Health Unlimited is a national leader in fitness center management, consulting, and design for some of the nation’s leading companies. Our core services include fitness center management, consulting and design, health coaching, personal training, group fitness, wellness workshops, and wellness programming, both in person and virtually through our Wellness 360 program.

Corporate Events Unlimited is known as the national leader in producing memorable experiences for companies throughout the United States. Our event offerings include employee appreciation events, team building, company picnics, tenant appreciation, meetings & conferences, grand openings, holiday parties, virtual events, and more.

At Corporate Sports Unlimited, Inc. we offer a genuine commitment to provide our customers with exceptional service. Striving to conduct business with the highest level of integrity and detail, we aspire to exceed the expectations of our clients, employees, and community. To our clients, we are proud to offer an array of services and experience, ensuring continued satisfaction. To our employees, we pledge to provide an environment that encourages both professional and personal growth. To our community, we offer enduring support and dedication to improving quality of life. Simply stated, our purpose is you.",https://corpsports.com/about-us/
Corporate Leagues,"Building a corporate sports team with the members within your company has many advantages. These teams provide the ideal environment to relieve the burdens and stress that surmounts within the workplace. Corporate sports teams build a new level of camaraderie among people that may have worked many years together without ever having the opportunity to get to know the actual person they work working next to. You will find that these team sports activities do much for building moral in the work place and always prove to be a positive attribute to building a more harmonious work environment.

Some of the more popular corporate sports that are enjoyed throughout the United States include golf, football, softball, dodge ball, basketball, and volleyball. These sports activities offer the prime opportunities for releasing the stress that builds in the office place while getting to know the co-workers and supervisors that you see on a regular basis. With the demanding hours that often required within companies throughout the country, having the ability to spend a few hours away from the office can produce the ideal means to obtaining some of the social activities that are often lacking in the lives of people today.",http://www.d3kicks.com/top-sports.htm
"Corporate 
Sporting
 events"," At Corporate Sporting Events we are very fortunate that the world's most prestigious sporting event, the world's most prestigous golf  Tournament, is played at our home base in Augusta, Georgia. This has allowed us to become a Leader in Sports Entertainment and Corporate Hospitality.  The owner of CSE is an Augusta native who grew up with the golf course only a chip shot away from his childhood home. His lifelong years of experience as an Augustan and 20 years of experience in corporate hospitality, uniquely qualify us to provide services at a level beyond most others.

WE ARE YOUR TICKET TO AUGUSTA!
The management and staff of Corporate Sporting Events pride themselves on Integrity and Professionalism and work tirelessly to provide a memorable Augusta experience to every guest.

We own and manage our hospitality center, the 1102 Magnolia Club just outside the Augusta National. We offer several turnkey packages and can customize any package to suit your needs. Along with event access, CSE offers concierge and business services and coordinates transportation, lodging, catering and private evening dinners for our guests.

Our mission is to provide you and your guests with an event experience that exceeds your expectations.

Corporate Sporting Events is not affiliated with nor does it imply affiliation with The Masters Golf Tournament, Augusta National, Inc., The City of Augusta, The PGA of America, or any other organization listed herein. Corporate Sporting Events is not authorized, licensed or endorsed by Augusta National Inc. to sell any goods and/or services in conjunction with Augusta National, Inc. events. The terms Masters, The Masters Golf Tournament and Augusta National as well as all associated graphics and/or logos, are registered trademarks of The Augusta National, Inc. and their use are prohibited herein.",https://www.corporatesportingevents.us/about.cfm
Wanderers FC,"Wanderers F.C. is Ireland's second oldest rugby club having been founded in 1870 by some former members of Dublin University F.C. Wanderers was one of the founding members of the Irish Rugby Football Union (IRFU). The club is deeply proud of its contribution to rugby football having provided 87 Irish International Players, 5 Irish captains, one captain each of England & Australia in addition to 14 British & Irish Lions and one Lions captain.

The club has clubhouses at its playing grounds at Lansdowne Road (Aviva Stadium) and Merrion Road. The club fields teams at Senior Men’s and Women’s, J1, U-23, U-20, Tag, Minis and Youths, as well as providing referees for Leinster Branch.",https://wanderers.ie/
FidGrit,"We're athletes ourselves
No, that doesn't quite do it justice. We're sports fanatics.

Our mission is to make more regional level professionals by giving them access to latest technology advancements that tend to benefit professionals only.
golf player

We live and breathe competition, and that passion to compete is what sustains us on a day-to-day basis. Just like you.
And like you, we care about improving and optimizing our game.

Sports Technology
Technology has transformed the landscape of the sports world-but for the most part, those technological advancements have tended towards the benefit of the professionals first, the fans second and amateur athletes maybe, if at all. At FidGrit, we're dead-set on fixing this imbalance. Our mission is to use the wonders of technology to bring athletes together, and make analytics accessible and easily digestible for everybody from the young aspiring pros, to the casual hobbyists, to the old-times yearning to relive their glory days.

FidGrit is a platform for players, for teams, and for coaches. Players can schedule matches, find opponents to play and coaches to work with, keep their fans in the loop with live scoring updates, share results to social media, analyze their game for strengths and weaknesses through our stats, and much more. Coaches and teams can use their discussion board to talk strategy remotely and conveniently, schedule practices and events efficiently, manage security, recruit new players, and even more

FidGrit brings professional-quality stat-keeping and record-keeping directly to your smartphone. Sibling rivalry bragging rights have never been this provable! Now, you can go back months, years, and tally up who really is better-and if that's changed in the past couple of months, the numbers will make it plain as day. Years own in different parts of the country, you'll be able to use FidGrit to schedule a match when you're both back in town-and hype each other up with constant smack talk in the lead-up.

Savor the Journey
And parents-you can look back fondly, years down the road, and pick out the exact moment when your kid started beating you regularly. Follow back and forth with all of your friends on FidGrit and you can track your growth against one another for years-and brag to all of your mutual friends when you get a big win over them!

Office Sports
Sports are a great bonding and team-building exercise for employees in an organization, and FidGrit makes it easier than ever to organize a company softball team, meet up with your coworkers on Saturday for some pickup hoops, or schedule a racquetball match against the company president. If improving your game isn't on your list of priorities, and you just want some fun, friendly, competition, you need not worry -FidGrit has got you covered.",https://fidgrit.com/public/about-team-fidgrit
"Corporate Challange 
Events","Corporate Challenge Events is Australia’s leading and largest team building, conference planning and workshop training provider. Our vision is to help organisations achieve a positive fun team culture by delivering unique and rewarding events, workshop training and team experiences that leave a lasting happiness. With that vision, we deliver tailored and professional services for clients in:

Team Building
Team Building Workshops
Conference & Events Planning
Our reach extends across Australia with local staff in each state and territory. Across our business, our staff team is committed to living our values:

Success is created by unity
What we say, we do
We will be better tomorrow than we are today
We care, it’s not just a job
Our actions affect our community

Corporate Challenge Events was established in 1994 from the vision of two students from RMIT University in Melbourne, Travis Ireland and current Managing Director Dwain Richardson.

After being set up initially as a team building events provider, we have firmly cemented our position as one of Australia’s most experienced and reputable companies in delivering fun, engaging and results-oriented team building programs.

As business and demand for our service grew in the early years, our offices and staff also increased.

In 2008, we opened a New Zealand office in Auckland and have since grown to become a leader in team building in New Zealand.

We pride ourselves on listening to our clients and what the marketplace needs and wants, and that led to us establishing two new services in recent years to complement our Team Building department.

In 2013, we launched our Conferences & Events department, seeing the opportunity to build upon our events management capability and deliver quality, customer-focused conference and event planning services across Australia and New Zealand.

In 2016, we launched our Team Building Workshops department, with the aim to deliver practical team-oriented training programs focused on key issues faced in today’s business world.

That brings us to today where we believe we have services to bring our vision to life – the creation and development of positive fun team cultures.",https://www.corporatechallenge.com.au/our-story/
Custom Ink,"At Custom Ink, we’re about more than shirts. We’re about you and everything you love. The passion you share with your group, club, or team; the excitement you have for your event or cause; and the drive that makes your business stand out from the rest. We believe that custom t-shirts do more than just make you look good - they help you feel good and inspire you to do good as well. We’re passionate about custom gear, but what we love even more is helping you bring what you love to life. So let’s create something together.",https://www.customink.com/about
"Community Sports 
network","Community Sports Network (CSN) is a local Charity which works in communities across Northern Ireland.

CSN proactively uses the Sport for Development as a medium to engage everyone within our communities. Sport for Development is defined as the intentional use of sport, physical activity and play to attain specific social development objectives. Sport for Development represents a particular approach to the design and delivery of sport & physical activity programmes that helps boost positive attributes of sport and follows a set of core principles that support the prioritisation and optimisation of social object from a S4D programme above any of the sporting outcomes.",https://www.communitysportsnetwork.org/
Heads Up,"After launching in 2019, we've taken the Heads Up campaign across the country and spoken to players, fans, and managers about how we can all come together to change the conversation on mental health through football. On the 1st of August we'll be celebrating the culmination of the campaign with the Heads Up FA Cup Final and a week of activity ensuring that, now more than ever, mental health is at the forefront of the game both for players and fans.",www.headstogether.org.uk
Minds United F.C.,"To use the power of football to improve the mental health and overall well-being of its members. This includes providing a platform at our clubhouse for social interaction, peer support, and the opportunity to improve physical fitness and develop new skills . To create a welcoming and inclusive community where individuals can come together through their shared love of football, and use the sport as a means to improve their mental health and wellbeing. The club's primary focus is on promoting positive mental health and reducing isolation, by providing a safe and supportive environment where people can connect with others who are going through similar experiences.The club also works towards breaking down barriers and reducing stigma surrounding mental health issues by promoting awareness and understanding of mental health within the wider community.",www.mindsunitedfc.com
Athletes for Hope,"Often, athletes want to make a positive difference in the world, but they don’t always know how to begin or how to turn their charitable passions into action. That is where Causeway comes in. Causeway takes the form of a road map to illustrate an athlete’s journey through the world of philanthropy. Contrary to an athlete’s competitive spirit, their philanthropic journey along the Causeway is not a race. Each athlete proceeds at their own pace as Athletes for Hope guides them every step of the way.
 
 Education is at the core of Athletes for Hope and the beginning of every charitable athlete’s philanthropic journey. As part of our Causeway program, we have developed a curriculum of thought-provoking educational workshops for athletes of all levels. Through facilitated debate and reflection, the Athletes for Hope model helps athletes explore their role in the community, discover their philanthropic passions, and learn how to maximize their charitable impact through a broad range of options, including forming a foundation. In 2023, we expanded our offerings to Mental Health Team Talks and working with kids in the youth sports space.
 
 Interested in scheduling a workshop for your team, league or organization? Learn more about our offerings and submit an inquiry form here. Education is the beginning of every charitable athlete’s philanthropic journey. As the core of our Causeway model, we have developed thought-provoking educational workshops that help athletes explore their role in the community, discover their philanthropic passions, and learn how to maximize their charitable impact through a broad range of options. Identifying the cause you care about is a personal and introspective process. Many athletes are unclear about what specific cause or what types of involvement they will find most fulfilling and allow them to have the greatest impact. At this stage we work with athletes to help them reflect on what matters most to them and guide them on taking the first steps. Once an athlete has identified a cause or causes that they care about, it’s time to explore which organization fits their needs. We identify and vet charitable organizations and help create experiences that align with an athlete’s interests and charity’s needs. We encourage athletes to begin their involvement by working with a variety of charities to gain a broader perspective about the causes they care about.",www.athletesforhope.org
The U.S. Center for Mental Health & Sport,"At the U.S. Center for Mental Health & Sport, we are focused on making sport environments a place where all involved can experience support for their mental health. We all have mental health and we should never be ashamed to talk about it or get the support we need. Mental health falls along a continuum and the mental health we experience can change throughout our lives. Whether individuals' mental health is thriving or languishing, the USC-MHS has the resources, training and support to help make the sport environment one that is inclusive and provides a positive experience! In order to establish sport environments that promote and support positive mental health, it is important for participants struggling with mental health issues to be surrounded by people who are able to recognize the signs and symptoms of mental health disorders, are able to provide basic information to those individuals regarding what they may be experiencing, and can direct those individuals toward the pathways for receiving additional support so they can recover. Our mental health awareness training is different from that offered anywhere else because we also focus on the special mental health risk factors and protective factors that are present in a sport environment. We all know that athletes' physical wellbeing is important. But do we also recognize that overall health includes mental health? At the USC-MHS we provide training for coaches on what coaching behaviors and initiatives support the mental health of athletes. All of our recommended practices for sports coaches are evidence-based and developed utilizing the latest research. This training goes beyond the basic mental health awareness training that focuses primarily on sign and symptoms of mental health disorders and takes a deeper dive into the behaviors that are instrumental in the prevention of mental health disorders. Establishing a mental health supporting environment in sports means that we look beyond just the athletes and support EVERYONE involved. We provide training and resources that pertain to the mental health of coaches, officials, parents, administrators, and anyone else included in our sports organizations. We know that there are specific risk factors associated with sport for mental health issues. However, it may be difficult to find a support group in the community-at-large that can truly understand those risk factors and some of the different challenges that individuals must work through in a sport environment. We provide group counseling / therapy sessions with a licensed mental health care providers who also have a great deal of experience in sport. These sessions are designed so that you can apply what you learn directly to your roll in sports. In order to support all of the initiatives listed above, we have a team of research fellows and mental health experts that allow us to bring the latest and best practices and mental health support mechanisms to you. This group has a broad range of experience as care providers, researchers, and practitioners in sport. Together they make up a team that develops content and initiatives that are leading the way in mental health and sport throughout the United States.",https://mentalhealthandsport.org/
Coping Through Football,"We provide six football sessions a week based in Redbridge and Waltham Forest for adults and young people. All sessions take place outdoors on 3G artificial turf pitches. Whilst the main activity is football, the real goal is about social inclusion as many of our participants have experienced discrimination, unemployment, poor physical and mental health and a lack of social networks and support. Participants attending the sessions typically feel a real sense of belonging and self worth and this helps in their road to recovery. There are clear exit strategies; CTF staff will support services users to engage in social inclusion activities of their choice (volunteering, education/training, leisure interests or work). We have had many success stories with our participants attending the project for a variety of reasons. Most want to improve their fitness and health, make more friends or achieve a vocational goal. The benefits of the project and the positive impact it has had on participants’ lives can be seen in the following short film and case study, Luke’s story shows how one young man who experienced depression and chronic anxiety used Coping Through Football as part of his recovery journey.",www.copingthroughfootball.org
The Mental Health World Cup,"The Mental Health World Cup at QPR's Loftus Road Stadium is the UK's leading charity 5-a-side football tournament for the fight to prevent suicide. We raise vital funds and raise awareness for charity CALM and other mental health community initiatives,.Launched in 2012, the #MHWC has become a key fundraising event for raising awareness and funds for mental health with a focus on suicide prevention. It provides an opportunity to bring people together - friends, colleagues and business associates - to raise money and awareness for this critical issue, whilst giving everyone involved an incredible day to remember. Pick your country, select your team, and raise enough sponsorship for your chance to play in the Mental Health World Cup! Over the course of a day, your team will battle it out in a 5-a-side spectacular at QPR's home ground, in a bid to be crowned Mental Health World Cup champions. All teams will get around an hour of playing time on the pitch and at least five matches against nations from around the world. If tackling the devastating suicide rates in the UK is important for your firm then we invite you to Stand Against Suicide. Be a Sponsor. We have a range of corporate sponsorship packages which allow you to play a key role in determining the success of the Mental Health World Cup. At the same time, demonstrate your commitment to the rest of the industry with multiple opportunities for corporate branding, promotion and merchandising.",https://www.mentalhealthworldcup.org.uk/
Mind,"Even though 1 in 4 people have mental health problems, most of us don’t get the help we need. This has to change. We’re Mind. We’re here to fight for mental health. For support, for respect, for you.  We change minds across England and Wales by making mental health an everyday priority. By standing up to the injustices – in healthcare, in work, in law – which make life harder for those of us with mental health problems.

We support minds – by offering help whenever you might need it through our information, advice and local services.

And we connect minds. Bringing together an unstoppable network of individuals and communities – people who care about mental health to make a difference.",https://www.mind.org.uk/
Common Goal,"Common Goal is rooted in the belief that the world’s most popular sport is one of the few cultural forces strong enough to help shift society towards a more sustainable and equitable future for all. We want to maximise the game’s contribution to people and planet by forging a lasting connection between football as a business and football as a catalyst for social transformation.

We believe that achieving long-lasting change requires collaboration. That’s why we are building a movement that creates opportunities for every stakeholder in football to participate.

We mobilise the football industry to pledge a minimum of 1% of all revenues to drive progress towards the Global Goals. And we team up with high-impact community organisations to reshape our society into an equal playing field for all. Bottom-up and inside-out, we place all our focus on strengthening local capacity to transform realities, embedding purpose at the heart of the football industry and using football as enabler to inspire a shift in mindset. Common Goal unites organisations, athletes, clubs, brand and other stakeholders in football to drive progress towards the Global Goals through the following key impact areas.",https://www.common-goal.org/
The Changing Room,"The Changing Room is the psychotherapy practice of Dermot Heslin, offering individual counselling sessions in Dublin city and online. We aim to provide a safe and non-judgemental space to work through difficulties and challenges. I work with a broad range of issues such as depression, anxiety, grief, relationship issues, childhood trauma, self-esteem and personal-development. In The Changing Room, we see psychotherapy as a collaboration between therapist and client, as both spend time working together to resolve challenges in the client’s life. 

Psychotherapy provides a safe space (either in-person or online) where you can share your difficulties in a non-judgemental way. It can be difficult to get a neutral outsider’s perspective when talking with family-members or friends, and psychotherapy gives the possibility of this perspective.

I know that it can be very difficult to take the first step in seeking help. You can contact me here, to arrange a free 15 minute call to discuss how we might work together.",https://www.thechangingroom.ie/
Palace For Life Foundation,"Palace for Life Foundation is the official charity of Crystal Palace F.C. which has been working with the south London community for over 25 years. We use the power of football and the Palace brand to change the lives of young people across south London, particularly the most hard-to-reach and hard-to-help. We work with over 15,000 people each year, inspiring them to find a better path and to lead a healthier life. We cover a broad spectrum, from football sessions for young people with a disability, to delivering engaging assemblies and workshops in local schools and colleges. Targeting young people in areas of deprivation, we offer free sessions in sport and other activities, alongside pastoral support, to instil positive values and help prepare our participants for a better life.

We have strong connections within the local community and businesses and run programmes designed to equip young people with the skills they need to start thinking about their future careers. We believe that everyone matters, irrespective of their background and beliefs, and by giving extra support to the most vulnerable, we will help create a better community and society.",https://www.palaceforlife.org/
Football Beyond Borders,"WE EXIST TO CHANGE THE LIVES OF YOUNG PEOPLE. THERE ARE THOUSANDS OF YOUNG PEOPLE WHO ARE PASSIONATE ABOUT FOOTBALL BUT ARE NOT FULFILLING THEIR POTENTIAL AT SCHOOL.
OUR MISSION
FBB works with young people from areas of socio-economic disadvantage who are passionate about football but disengaged at school, to help them finish school with the skills and grades to make a successful transition into adulthood. We do this by providing long-term, intensive support, built around relationships and young people’s passions, in the classroom and beyond.
OUR HISTORY
The journey began in a common room at a university in London. The university football captain Jasper Kain asked his teammates to embark on a summer football tour with a difference.",https://www.footballbeyondborders.org/
Mental Health UK - Forward Together,"1 in 4 people in the UK has experienced a mental health problem. We won’t stop until everyone has the tools they need to live their best possible life.Who we are
In a rapidly changing world, Mental Health UK brings together the heritage and experience of four charities from across the country who’ve been supporting people with their mental health for over 50 years.
Working UK-wide, we deliver both national and local services that enable and empower people to understand and manage their mental health in a person-centred and empathetic way.
With our local service delivery and national expertise in supporting people whose lives are affected by mental health problems, we have been able to mark a significant footprint in the areas that deeply challenge our mental health and stability.
We provide support and services for some of the biggest societal challenges that pose a threat to people’s mental health, including money problems, navigating through the system to get the right support, understanding mental health, loneliness and isolation, and resilience in young people.
We challenge the causes of poor mental health and provide people with the tools they need to live their best possible life at home, school and work.
Our strategy (2021-25)
Together, we’ll better understand and manage our mental health. Our strategy maps out a clear route to achieving this by encouraging and supporting everyone to play their part.",https://mentalhealth-uk.org/
The Prudence Trust,"Our vision is for a world where no young person is owned or defined by their mental illness and where they have access to the personalized support they need, at the right time. We want to be part of the solution that successfully advances better mental health for all young people. The Prudence Trust is a grant-making charity, established in 2020, investing in the advancement of young people’s mental health services and research in the UK. WE INVEST IN RESEARCH AND SERVICES
We invest in research and services addressing both preventive and curative mental health treatments, with a specific focus on social interventions, such as creativity and the arts, and their value to wellbeing.
We particularly focus on supporting young people from disadvantaged groups.
WE SEARCH FOR HIGH IMPACT PROJECTS
As grant-makers we are demanding in our search for high-impact projects and ambitious with our investments. We are willing to support innovative approaches which address long-standing issues related to young people’s mental health.
Our expert advisors ensure our funding decisions are well-informed and measured and we continually learn from, and are inspired by, those on the frontline.
WE BUILD LONG TERM PARTNERSHIPS
We know that change, particularly in the field of young people’s mental health, often takes a long time and so we aim to build long-term relationships with both our grantees and other grant-makers.
We also seek to fund research which can subsequently be translated into positive practice.",https://theprudencetrust.org/what-we-fund/whats-working-2024/
The Doorstep Library,"pleasure and benefits of reading.

Our work is concentrated in areas where we know opportunities for reading are restricted – there may be limited access to books in the home or language barriers may be preventing parents or carers from being able to provide additional reading support to the children in their care.

Equipped with a reading stool and a backpack brimming with books, our volunteers are right there ready to help and inspire. Our unique home-based service, whether in person or online, enables us to find the most appropriate books for every child we visit and build a relationship with the whole family.  We use books to fuel children’s natural love of stories, fire their imaginations, and encourage their appreciation of reading.",https://doorsteplibrary.org.uk/
Kids Inspire,"A charity based in Essex supporting children considered too complex by other agencies. They provide bespoke services including therapy, mentoring, and group work to help children overcome trauma and mental health challenges.",https://www.kidsinspire.org.uk/
Asylum Link Merseyside,"This organization supports asylum seekers and refugees, helping them integrate into the community and find a sense of purpose through various activities, including football.",https://www.asylumlink.org.uk/
